Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Triethylene glycol diacetate,C H O · 000111-21-7,x,x,3,3,x,x,1,2,x,x,x,x,4,x,1,1,3
Triisopropylbenzene,C H · 000717-74-8,x,x,2,3,x,4,2,3,4,x,x,x,x,x,1,1,2
"Trimethylbenzene, 1,2,4-",C H · 000095-63-6,x,x,1,4,x,x,2,3,4,x,x,x,x,x,1,1,2
Trimethylolpropane,C 6 H 14 O 3 · 000077-99-6 · aqueous,x,x,2,2,2,x,1,1,x,x,x,x,x,x,1,1,1
"Trimethylpentane, 2,2,4-",8 18 · 000540-84-1 · techn. pure,1,1,1,2,1,4,1,1,3,1,1,4,1,x,1,1,1
Trioctyl phosphate,C H PO · 000078-42-2 · techn. pure,3,1,1,3,x,x,2,1,x,x,4,x,x,x,1,1,3
Tripropylene glycol (TPG),C 9 H 20 O 4 · 024800-44-0,1,1,3,1,x,1,1,1,1,1,2,x,x,1,1,1,2
Trisodium phosphate,Na 3 PO 4 · 007601-54-9,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Turbine oil (based on mineral oil),— · —,x,x,1,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Turpentine surrogate,— · —,x,x,1,3,1,4,1,3,4,x,x,x,1,x,1,1,1
Two-stroke oil,— · — · 100 %,x,1,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Undecanol,C H O · 000112-42-5,1,1,1,2,1,1,1,1,2,3,1,x,1,1,1,1,1
Urea,CH N O · 000057-13-6 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Urea,CH 4 N 2 O · 000057-13-6,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1
Uric acid,C 5 H 4 N 4 O 3 · 000069-93-2,1,1,2,1,1,x,1,1,x,x,1,1,x,1,1,1,1
Urine,— · —,1,1,1,1,1,x,1,1,3,x,1,1,x,1,1,1,1
Valerian drops,— · —,x,x,2,2,2,x,2,2,4,x,x,x,1,x,1,1,1
Vaseline,— · 008009-03-8 · techn. pure,3,2,1,1,1,x,x,1,1,x,3,x,1,x,1,1,1
Vaseline oil,— · 008012-95-1 · 100 %,x,1,1,2,1,1,x,1,1,1,1,3,x,x,1,1,1
Vaseline oil,— · 008012-95-1,1,1,1,1,1,x,1,1,1,x,1,1,1,x,1,1,1
Vegetable oils,— · —,x,x,x,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Vinegar,C H O · 000064-19-7,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1
Vinyl acetate,C 4 H 6 O 2 · 000108-05-4 · techn. pure,x,1,1,4,3,4,x,1,x,x,4,4,x,x,1,1,1
Vinyl chloride (VCM),C H Cl · 000075-01-4 · techn. pure,x,x,1,4,1,x,x,3,x,x,4,4,x,x,1,1,1
Vinylidene chloride,C 2 H 2 Cl 2 · 000075-35-4,4,4,2,4,4,4,4,4,4,4,4,4,x,2,1,1,2
Vitamin C,C 6 H 8 O 6 · 000050-81-7 · liquid,1,1,2,2,1,x,2,1,x,x,x,x,x,1,1,1,1
Walnut oil,— · 008024-09-7,x,x,2,2,1,x,x,1,3,x,x,x,x,x,1,1,1
Washingup liquid,— · — · aqueous,1,1,2,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Water,H 2 O · 007732-18-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Water, distilled ~",H O · 007732-18-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wax alcohol,— · — · techn. pure,3,3,2,2,1,x,x,3,x,x,1,3,x,x,1,1,1
Waxes,— · —,x,1,1,1,1,x,x,1,1,x,x,x,1,x,1,1,1
Wetting agent,— · — · 5 %,1,x,2,2,1,x,2,1,x,x,1,x,x,x,1,1,1
Whey,— · —,1,x,2,1,1,x,2,1,x,x,x,x,x,1,1,1,1
Whiskey,— · —,x,x,1,1,1,x,1,1,x,x,x,x,x,x,1,1,1
White Spirit,— · 008042-47-5,1,1,1,3,1,4,1,1,x,x,1,x,x,x,1,1,2
Wort for fermentation,— · —,1,1,2,2,1,x,1,1,x,x,x,x,x,1,1,1,2
Xenon,Xe · 007440-63-3,x,x,1,1,1,x,1,2,x,x,x,x,x,x,1,1,1
Xylene,C H · 001330-20-7,3,3,1,4,x,3,1,4,4,4,4,4,4,1,1,1,1
Yeast,— · — · each,1,1,1,1,1,x,1,1,x,x,1,1,x,1,1,1,1
Zinc acetate,C 4 H 6 ZnO 4 · 000557-34-6 · aqueous,1,1,2,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Zinc bromide,ZnBr 2 · 007699-45-8,1,1,4,2,x,x,2,1,x,x,x,x,1,x,1,1,1
Zinc carbonate,ZnCO · 003486-35-9 · saturated,1,1,1,1,1,x,1,1,1,1,1,1,1,1,1,1,1
Zinc chloride,ZnCl · 007646-85-7 · aqueous,1,1,3,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Zinc nitrate,Zn(NO 3 ) 2 · 007779-88-6,1,1,1,2,x,x,2,1,1,1,1,1,1,x,1,1,1
Zinc oxide,ZnO · 001314-13-2 · solid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zinc oxide ointment,— · —,x,x,1,2,2,x,2,2,1,x,x,x,1,x,1,1,2
Zinc phosphate,Zn 3 (PO 4 ) 2 · 007779-90-0 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zinc sludge,— · —,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,1,2
Zinc stearate,C H ZnO · 000557-05-1,1,1,1,1,x,1,1,1,1,1,1,1,1,1,1,1,1
Zinc sulfate,ZnSO 4 · 007733-02-0 · 10 %,1,1,3,1,2,1,2,1,1,x,1,1,1,1,1,1,1
Zinkchlorid,ZnCl 2 · 007646-85-7 · 10 %,1,1,3,1,x,1,2,1,1,x,1,1,1,1,1,1,1
