Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Carbon tetrachloride (TETRA),CCl · 000056-23-5,4,4,4,4,1,4,2,4,4,4,4,4,4,1,1,1,1
Carnauba wax,— · 008015-86-9,1,1,1,1,1,x,1,1,x,x,x,x,1,x,1,1,1
Castor oil,— · 008001-79-4 · 100 %,1,1,1,1,1,1,2,1,1,x,1,3,1,x,1,1,1
Cedar wood oil,— · 008000-27-9,3,4,2,2,x,4,2,4,4,3,3,x,x,1,1,1,2
Cesium bromide,CsBr · 007787-69-1,1,1,2,2,2,x,1,1,x,x,x,x,1,1,1,1,1
Cetyl alcohol,C H O · 036653-82-4 · 100 %,1,1,4,2,1,x,1,1,x,1,1,3,1,1,1,1,1
Chalk,CaCO · —,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chloral hydrate,C H Cl O · 000302-17-0 · techn. pure,3,3,4,3,4,x,3,3,x,x,4,4,x,x,1,1,4
Chloramine-T,C H ClNaNSO · 000127-65-1 · diluted,1,1,4,1,x,x,3,3,x,x,x,1,x,x,1,1,3
Chloric acid,HClO · 007790-93-4 · 1 %,x,1,4,3,x,x,3,1,x,x,1,1,x,x,x,1,1
Chloric acid,HClO · 007790-93-4 · 10 %,1,x,4,3,x,x,4,4,x,x,1,x,x,x,x,1,1
Chloric acid,HClO · 007790-93-4 · 20 %,3,1,4,3,4,x,4,1,x,x,1,x,x,x,x,1,1
Chlorine,Cl · 007782-50-5 · 10 % wet,3,3,4,2,4,2,4,4,4,4,1,x,4,1,1,1,2
Chlorine,Cl · 007782-50-5 · 97 %,4,4,4,4,4,4,4,4,4,4,4,4,4,x,1,1,1
Chlorine,Cl · 007782-50-5 · steam,4,4,4,4,4,4,4,4,4,4,4,4,4,x,1,1,1
Chlorine dioxide,ClO · 010049-04-4,x,x,4,3,x,x,3,3,x,x,x,x,x,x,x,1,2
Chlorine trifluoride,ClF · 007790-91-2,x,x,4,4,4,4,4,4,x,x,x,x,x,x,x,2,4
Chlorine water,Cl x H O · 007782-50-5,3,x,4,4,4,4,4,3,4,x,3,3,3,1,1,1,1
"Chloro acetophenone, p-",C 8 H 7 ClO · 000099-91-2,1,1,2,4,x,1,2,1,4,4,4,x,x,1,1,2,2
Chloroacetic acid,C 2 H 3 ClO 2 · 000079-11-8 · 50 %,1,1,4,4,4,x,4,1,x,x,1,x,3,x,1,1,1
Chloroacetic acid,C 2 H 3 ClO 2 · 000079-11-8,1,1,4,3,4,1,4,1,2,4,3,4,3,1,1,1,4
Chloroacetone,C 3 H 5 ClO · 000078-95-5,x,x,3,4,4,4,3,2,x,x,x,x,x,x,x,2,3
Chlorobenzene,C 6 H 5 Cl · 000108-90-7,3,3,4,4,1,4,1,3,4,4,4,4,4,1,1,1,1
Chlorodifluoroethane,C H ClF · 000075-68-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chlorodifluoromethane,CHClF · 000075-45-6,x,3,1,3,1,x,1,4,4,4,2,4,x,x,3,1,3
